Title;Format;Year;Rating
Aggressive Retsuko;TV;2016;4.06
Tenchi Muyo! Ryo-Ohki 3 Plus 1;OVA;2005;4.06
Mobile Suit Zeta Gundam;TV;1985;4.06
Amagi Brilliant Park;TV;2014;4.06
Asobi Asobase Specials;DVD Special;2018;4.06
Rozen Maiden: Träumend;TV;2005;4.06
Arashi no Yoru ni;Movie;2005;4.06
Mobile Suit Gundam Wing: Operation Meteor;OVA;1996;4.06
Haré+Guu;TV;2001;4.06
Kodocha;TV;1996;4.06
Dragon Ball Z Movie 14: Battle of Gods;Movie;2013;4.06
Master Keaton;TV;1998;4.06
Hifuu Katsudou Kiroku: The Sealed Esoteric History;Other;2015;4.06
Fate/stay night;TV;2006;4.06
Kill Bill Chapter 3: The Origin of O-Ren;Movie;2003;4.06
Seitokai Yakuindomo;TV;2010;4.06
Pokemon XY & Z;TV;2015;4.06
Lupin III: Part II;TV;1977;4.06
Banner of the Stars;TV;2000;4.06
Ranma 1/2 OVA;OVA;1993;4.06
Girls und Panzer: This is the Real Anzio Battle!;OVA;2014;4.06
Shura no Toki: Age of Chaos;TV;2004;4.05
Death Note Rewrite 2: L's Successors;TV Special;2008;4.05
Paradise Kiss;TV;2005;4.05
Strawberry Marshmallow;TV;2005;4.05
Giant Robo;OVA;1992;4.05
Akagi;TV;2005;4.05
Ranma 1/2 Akumu! Shunmin Kou;OVA;2008;4.05
High School DxD Hero;TV;2018;4.05
Evangelion: 3.0 You Can (Not) Redo;Movie;2012;4.05
Hitorijime My Hero;TV;2017;4.05
Chuunibyou Demo Koi ga Shitai! Ren;TV;2014;4.05
Hora, Mimi ga Mieteru yo! 2;Web;2019;4.05
Aldnoah.Zero;TV;2014;4.05
Slayers;TV;1995;4.05
Kuuchuu Buranko;TV;2009;4.05
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke;TV;2013;4.05
Code Geass Gaiden: Boukoku no Akito;OVA;2012;4.05
Monsuno 3rd Season;Web;2014;4.05
Persona 4 The Animation;TV;2011;4.05
Majokko Shimai no Yoyo to Nene;Movie;2013;4.05
Mahou Sensei Negima! ~Mou Hitotsu no Sekai~;OVA;2009;4.05
Ajin;TV;2016;4.05
Mobile Suit Gundam: Thunderbolt - Bandit Flower;Movie;2017;4.05
Is this a Zombie? (2012);OVA;2012;4.05
Tenchi Muyo! Ryo-Ohki;OVA;1992;4.05
Shinryaku!? Ika Musume;TV;2011;4.05
Durarara!! X2 The Second Arc: Onoroke Chakapoko;Other;2015;4.05
Macross Frontier Deculture Edition;TV Special;2007;4.05
Guilty Crown;TV;2011;4.05
A Certain Scientific Railgun OVA;OVA;2010;4.05
Heaven's Memo Pad;TV;2011;4.04
Saint Seiya: The Hades Chapter - Inferno;OVA;2005;4.04
My Hero Academia: Jump Festa 2016 Special;Other;2016;4.04
The Familiar of Zero;TV;2006;4.04
Aoi Bungaku Series;TV;2009;4.04
Chrome Shelled Regios;TV;2009;4.04
Tenchi Muyo! Ryo-Ohki 3;OVA;2003;4.04
Ushio and Tora TV;TV;2015;4.04
Utawarerumono;TV;2006;4.04
Ajin Movie 3: Shougeki;Movie;2016;4.04
Tentai Senshi Sunred;TV;2008;4.04
Salaryman Kintaro;TV;2001;4.04
Devilman: Crybaby;Web;2018;4.04
Sengoku Basara: Samurai Kings Movie - The Last Party;Movie;2011;4.04
Cardcaptor Sakura;TV;1998;4.04
Kaleido Star;TV;2003;4.04
Imawa no Kuni no Alice;OVA;2014;4.04
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou Part 3 - Yakusoku;Movie;2017;4.04
Special A;TV;2008;4.04
Prison School;TV;2015;4.04
Is this a Zombie?;TV;2011;4.04
Cells at Work!: The Common Cold;TV Special;2018;4.04
City Hunter '91;TV;1991;4.04
The Morose Mononokean;TV;2016;4.04
Mardock Scramble: The Second Combustion;Movie;2011;4.04
Tonari no Seki-kun;TV;2014;4.04
Detective Conan Movie 11: Jolly Roger in the Deep Azure;Movie;2007;4.04
Magical Girl Lyrical Nanoha StrikerS;TV;2007;4.04
Digimon Adventure Tri. Movie 4: Loss;Movie;2017;4.04
Vandread: The Second Stage;TV;2001;4.04
Nodame Cantabile OVA;OVA;2009;4.03
Free! - Iwatobi Swim Club Specials;DVD Special;2013;4.03
Ah! My Goddess: Flights of Fancy;TV;2006;4.03
The Royal Tutor;TV;2017;4.03
Knight's & Magic;TV;2017;4.03
The New Prince of Tennis Specials;DVD Special;2012;4.03
Yowamushi Pedal: Glory Line;TV;2018;4.03
GaoGaiGar FINAL Grand Glorious Gathering;TV;2005;4.03
Psycho-Pass SS: Case. 3 - Onshuu no Kanata ni;Movie;2019;4.03
Valkyria Chronicles;TV;2009;4.03
Our love has always been 10 centimeters apart.;TV;2017;4.03
Recovery of an MMO Junkie Special;DVD Special;2017;4.03
Yamato Nadeshiko Shichi Henge;TV;2006;4.03
Towa no Quon 1: Utakata no Kaben;Movie;2011;4.03
Chuunibyou Demo Koi ga Shitai! Kirameki no... Slapstick Noel;DVD Special;2013;4.03
Mi Yu Xing Zhe;Web;2018;4.03
K;TV;2012;4.03
Prison School OVA;OVA;2016;4.03
ACCA: 13-Territory Inspection Dept.;TV;2017;4.03
Persona 4 The Animation: No One is Alone;DVD Special;2012;4.03
Gunbuster;OVA;1988;4.03
Michiko & Hatchin;TV;2008;4.03
Blood Blockade Battlefront;TV;2015;4.03
Macross Plus Movie Edition;Movie;1995;4.03
Tales of Zestiria: The X;TV;2016;4.03
Darker than Black: Sakura no Hana no Mankai no Shita;DVD Special;2008;4.03
Initial D Battle Stage 2;OVA;2007;4.03
Gundam Build Fighters;TV;2013;4.03
My Bride is a Mermaid;TV;2007;4.03
Naruto;TV;2002;4.03
Love Stage!! OVA;OVA;2014;4.03
Dragon Ball Z Kai;TV;2009;4.03
Ani ni Tsukeru Kusuri wa Nai! 2;TV;2018;4.03
Looking Up At the Half-Moon;TV;2006;4.03
Towa no Quon 2: Konton no Ranbu;Movie;2011;4.03
Hell Girl: Three Vessels;TV;2008;4.03
Kaleido Star: Legend of Phoenix ~Layla Hamilton Story~;OVA;2005;4.03
Moyashimon;TV;2007;4.03
Osomatsu-san 2nd Season;TV;2017;4.02
Honey and Clover;TV;2005;4.02
Inu x Boku SS;TV;2012;4.02
Maria-sama ga Miteru ~Haru~;TV;2004;4.02
After the Rain;TV;2018;4.02
School Babysitters OVA;OVA;2018;4.02
Macross Zero;OVA;2002;4.02
Domestic Girlfriend;TV;2019;4.02
Memories;OVA;1995;4.02
The Ambition of Oda Nobuna;TV;2012;4.02
Urusei Yatsura Movie 2: Beautiful Dreamer;Movie;1984;4.02
High School DxD;TV;2012;4.02
Princess Principal;TV;2017;4.02
Kakegurui;TV;2017;4.02
Toradora! Special;Other;2011;4.02
Hakuouki Shinsengumi Kitan OVA;OVA;2011;4.02
Tonari no Seki-kun Specials;DVD Special;2014;4.02
Chi's Sweet Home;TV;2008;4.02
Mobile Suit Gundam: Char's Counterattack;Movie;1988;4.02
Tales of Zestiria: The X (2017);TV;2017;4.02
Ajin Movie 2: Shoutotsu;Movie;2016;4.02
When They Cry: Rei;OVA;2009;4.02
Wolf's Rain;TV;2003;4.02
Boku wa Tomodachi ga Sukunai;TV;2011;4.02
B: The Beginning;Web;2018;4.02
Over Drive;TV;2007;4.02
InuYasha The Movie 3: Swords of an Honorable Ruler;Movie;2003;4.02
Is the Order a Rabbit?? ~Dear My Sister~;Movie;2017;4.02
Sayonara Zetsubou Sensei Blu-ray Box Special;OVA;2012;4.02
Naruto Shippuden Movie 5: Blood Prison;Movie;2011;4.02
Orange -Mirai-;Movie;2016;4.02
Angel Beats! Hell's Kitchen;DVD Special;2015;4.02
Mind Game;Movie;2004;4.01
Full Moon wo Sagashite;TV;2002;4.01
Nisekoi:;TV;2015;4.01
Heaven's Lost Property: Project Pink;OVA;2010;4.01
The Fruit of Grisaia;TV;2014;4.01
Getter Robo Armageddon;OVA;1998;4.01
Uchiage Hanabi;Music Video;2017;4.01
K: Seven Stories Movie 4 - Lost Small World ~Ori no Mukou ni;Movie;2018;4.01
Tales of Symphonia: Tethe'alla-hen;OVA;2010;4.01
Beryl and Sapphire;Web;2018;4.01
Macross Plus;OVA;1994;4.01
Expelled From Paradise;Movie;2014;4.01
Nintama Rantarou: Dokutake Onsen no Dan;TV Special;2007;4.01
Highschool of the Dead;TV;2010;4.01
Shaonian Jinyiwei;Web;2017;4.01
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu;TV Special;2008;4.01
Koyomimonogatari;Web;2016;4.01
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey;OVA;2010;4.01
PriPara Movie: Minna de Kagayake! Kirarin☆Star Live!;Movie;2017;4.01
Blood Lad;TV;2013;4.01
BLAME! Movie;Movie;2017;4.01
Shinryaku! Ika Musume OVA;OVA;2012;4.01
Gargantia on the Verdurous Planet: Meguru Kouro, Haruka;OVA;2014;4.01
Aggressive Retsuko: We Wish You a Metal Christmas;Web;2018;4.01
Encouragement of Climb 3;TV;2018;4.01
Bleach Movie 3: Fade to Black;Movie;2008;4.01
Karakai Jouzu no Takagi-san;TV;2018;4.01
Huyao Xiao Hongniang 2;Web;2017;4.01
Noblesse: Pamyeol-ui Sijak;OVA;2015;4.01
Harlock: Space Pirate;Movie;2013;4.01
Kabaneri of the Iron Fortress;TV;2016;4.01
Rokuhoudou Yotsuiro Biyori;TV;2018;4.01
Isshuukan Friends.;TV;2014;4
Detective Conan OVA 4: Conan and Kid and Crystal Mother;OVA;2004;4
Tokyo Ghoul: Jack;OVA;2015;4
Fullmetal Alchemist: The Sacred Star of Milos;Movie;2011;4
How to Keep a Mummy;TV;2018;4
D-Frag!;TV;2014;4
My Teen Romantic Comedy SNAFU OVA;OVA;2013;4
Linkin Park: Breaking the Habit;Music Video;2004;4
Prince of Tennis;TV;2001;4
DAKAICHI -I'm being harassed by the sexiest man of the year-;TV;2018;4
Hidamari Sketch Specials;TV Special;2007;4
Giant Killing;TV;2010;4
Crest of the Stars Movie;Movie;2000;4
Kino's Journey -the Beautiful World- the Animated Series;TV;2017;4
One Piece Movie 6: Baron Omatsuri and the Secret Island;Movie;2005;4
Aikatsu Stars!: Hoshi no Tsubasa;TV;2017;4
Angel Beats! Another Epilogue;DVD Special;2010;4
Tales of Symphonia: Sekai Tougou-hen;OVA;2011;4
Kimagure Orange Road: I Want to Return to That Day;Movie;1988;4
GANTZ:O;Movie;2016;4
Itazura na Kiss;TV;2008;4
Detective Conan Magic File 2: Kudo Shinichi: The Case of the Mysterious Wall and the Black Lab;OVA;2008;4
Sailor Moon Sailor Stars Memorial;OVA;1999;4
Les Miserables: Shoujo Cosette;TV;2007;4
Minami-ke Omatase;OVA;2012;4
Shonan Junai Gumi;OVA;1994;4
Mayo Chiki!;TV;2011;4
Spiritpact: Bond of The Underworld;TV;2018;4
Honey and Clover Specials;DVD Special;2005;3.99
Horizon in the Middle of Nowhere II;TV;2012;3.99
Heibai Wushang 2nd Season;TV;2017;3.99
Dragon Ball Z Movie 15: Resurrection 'F';Movie;2015;3.99
Thunderbolt Fantasy;TV;2016;3.99
Hozuki's Coolheadedness;TV;2014;3.99
Caramel Honey;Other;2018;3.99
Space Dandy;TV;2014;3.99
New Kimagure Orange Road: Summer's Beginning;Movie;1996;3.99
Date a Live Movie: Mayuri Judgement;Movie;2015;3.99
Charlotte Special;DVD Special;2016;3.99
Tada Never Falls in Love;TV;2018;3.99
Non Non Biyori OVA;OVA;2014;3.99
Fullmetal Alchemist: Brotherhood: 4-Koma Theater;DVD Special;2009;3.99
Btooom!;TV;2012;3.99
Kubikiri Cycle: Aoiro Savant to Zaregototsukai;OVA;2016;3.99
Acchi Kocchi: Place=Princess;DVD Special;2012;3.99
Fuse Teppou Musume no Torimonochou;Movie;2012;3.99
Black Butler: His Butler, Performer;DVD Special;2009;3.99
Free! - Iwatobi Swim Club;TV;2013;3.99
On Your Mark;Music Video;1995;3.99
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi;DVD Special;2016;3.99
Inazuma Eleven: Orion no Kokuin;TV;2018;3.99
Mahoujin Guru Guru (2017);TV;2017;3.99
Traveling Daru;OVA;2012;3.99
Ga-Rei -Zero-;TV;2008;3.99
Serial Experiments Lain;TV;1998;3.99
Kaze no Stigma;TV;2007;3.99
Prince of Tennis: Eikoku-shiki Teikyuu Shiro Kessen!;Movie;2011;3.99
Blend S;TV;2017;3.99
Kishibe Rohan wa Ugokanai;OVA;2017;3.99
Kateikyoushi Hitman Reborn! Special;Web;2010;3.98
My Bride is a Mermaid OVA Special;DVD Special;2008;3.98
Idolish 7;TV;2018;3.98
Legend of the Condor Hero II;TV;2004;3.98
Flying Witch;TV;2016;3.98
Humanity Has Declined;TV;2012;3.98
Hakuouki Hekketsuroku;TV;2010;3.98
Hetalia: The World Twinkle Specials;DVD Special;2015;3.98
Melancholy of Haruhi-chan Suzumiya;Web;2009;3.98
Emma: A Victorian Romance;TV;2005;3.98
Engaged to the Unidentified;TV;2014;3.98
Ranma 1/2 Super;OVA;1995;3.98
Ah! My Goddess: Fighting Wings;TV Special;2007;3.98
Daicon III and IV;Other;1981;3.98
Eve: Bokura Mada Underground;Music Video;2019;3.98
You're Under Arrest! Second Season;TV;2001;3.98
Ranma 1/2;TV;1989;3.98
Planetarian;Web;2016;3.98
Chi's Sweet Home OVA;OVA;2010;3.98
Slayers Evolution-R;TV;2009;3.98
Fate/Kaleid Liner Prisma Illya 3rei!!;TV;2016;3.98
Tales of Zestiria: Dawn of the Shepherd;TV Special;2014;3.98
Welcome to THE SPACE SHOW;Movie;2010;3.98
Freedom;OVA;2006;3.98
Prince of Tennis: Another Story II ~Ano Toki no Bokura;OVA;2011;3.98
Hal;Movie;2013;3.98
Ace of the Diamond OVA;OVA;2014;3.98
Tsuritama;TV;2012;3.98
Hungry Heart - Wild Striker;TV;2002;3.97
Tiger & Bunny the Movie: The Beginning;Movie;2012;3.97
Scum's Wish;TV;2017;3.97
Ranma 1/2 Special;OVA;1994;3.97
K: Seven Stories Movie 1 - R:B ~Blaze~;Movie;2018;3.97
Daughter of Twenty Faces;TV;2008;3.97
Psycho-Pass SS: Case. 2 - First Guardian;Movie;2019;3.97
Attack on Titan Movie 2: Jiyuu no Tsubasa;Movie;2015;3.97
Minami-ke Natsuyasumi;OVA;2013;3.97
One Piece: Romance Dawn Story;TV Special;2008;3.97
Romeo x Juliet;TV;2007;3.97
Himouto! Umaru-chan OVA;OVA;2017;3.97
Samurai 7;TV;2004;3.97
Bokurano;TV;2007;3.97
Hellsing: The Dawn;DVD Special;2011;3.97
Soukyuu no Fafner: Dead Aggressor - Exodus 2;TV;2015;3.97
Bleach Movie 2: The DiamondDust Rebellion;Movie;2007;3.97
Mobile Suit Gundam;TV;1979;3.97
Shounen Onmyouji;TV;2006;3.97
Dareka no Manazashi;Movie;2013;3.97
Black Jack (2001);Web;2001;3.97
Arcadia of My Youth;Movie;1982;3.97
Kappa no Coo to Natsuyasumi;Movie;2007;3.97
Oblivion Island: Haruka and the Magic Mirror;Movie;2009;3.97
Waiting in the Summer;TV;2012;3.97
Deadman Wonderland;TV;2011;3.97
Now and Then, Here and There;TV;1999;3.97
Restaurant to Another World;TV;2017;3.97
Galaxy Express 999 Movie;Movie;1979;3.97
Motto To Love Ru;TV;2010;3.97
Kuroko's Basketball 3: NG-shuu;DVD Special;2015;3.97
Tales of Zestiria: The X - Age of Chaos;TV Special;2016;3.97
Saint Seiya: The Hades Chapter - Elysion;OVA;2008;3.97
Zombieland Saga;TV;2018;3.97
Flip Flappers;TV;2016;3.97
Tanaka-kun is Always Listless Specials;DVD Special;2016;3.97
Acchi Kocchi;TV;2012;3.97
Re:Creators;TV;2017;3.97
Mobile Suit Gundam 0080: War in the Pocket;OVA;1989;3.96
Da Nao Tian Gong;Movie;1964;3.96
Kaleido Star: New Wings ~Extra Stage~;OVA;2004;3.96
Fullmetal Alchemist: Premium Collection;OVA;2006;3.96
Detective Academy Q;TV;2003;3.96
Hakuouki Reimeiroku Tokuten Disc;OVA;2013;3.96
Kekkaishi;TV;2006;3.96
Fairy Tail 2 OVA;OVA;2016;3.96
Ashita no Joe;TV;1970;3.96
Gokudo;TV;1999;3.96
Nintama Rantarou Movie;Movie;1996;3.96
Chrono Crusade;TV;2003;3.96
How NOT to Summon a Demon Lord;TV;2018;3.96
Date a Live III;TV;2019;3.96
Bleach Movie 1: Memories of Nobody;Movie;2006;3.96
Hourou Musuko;TV;2011;3.96
Nisekoi OVA;OVA;2014;3.96
One Piece Movie 5: The Curse of the Sacred Sword;Movie;2004;3.96
You're Being Summoned, Azazel OVA;OVA;2010;3.96
Aria the Natural Special;DVD Special;2006;3.96
Sword Art Online II;TV;2014;3.96
Mirai;Movie;2018;3.96
Asobi Asobase OVA;OVA;2018;3.96
Heaven's Lost Property;TV;2009;3.96
Initial D Battle Stage;OVA;2002;3.96
Bungaku Shoujo;Movie;2010;3.96
Touch;TV;1985;3.96
Nodame Cantabile: Special Lesson;DVD Special;2007;3.96
Tsubasa Chronicle;TV;2005;3.96
Carnival Phantasm: EX Season;OVA;2011;3.96
Gakuen Alice;TV;2004;3.96
Detective Conan OVA 6: Follow the Vanished Diamond! Conan and Heiji vs Kid!;OVA;2006;3.96
Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer;Movie;2010;3.96
New Game! Special;DVD Special;2017;3.95
Air Gear;TV;2006;3.95
Fist of the North Star: Legend of Raoh: Fierce Fight;Movie;2007;3.95
Future Diary: Redial;OVA;2013;3.95
No. 6;TV;2011;3.95
Momoko, Kaeru no Uta ga Kikoeru yo.;Movie;2003;3.95
AKB0048: Next Stage;TV;2013;3.95
Grimoire of Zero;TV;2017;3.95
Is this a Zombie? OVA;OVA;2011;3.95
Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu;TV Special;2008;3.95
Servamp Specials;DVD Special;2016;3.95
High School DxD Born: Yomigaeranai Fushichou;OVA;2015;3.95
Love Live! Sunshine!! 2nd Season;TV;2017;3.95
Hakata Tonkotsu Ramens;TV;2018;3.95
Kiznaiver;TV;2016;3.95
Xie Wang Zhui Qi;Web;2019;3.95
Tonari no Seki-kun OVA;OVA;2014;3.95
Food Wars!: Jump Festa 2015 Special;Other;2015;3.95
Kyo Kara Maoh! R;OVA;2007;3.95
You're Under Arrest! OVA;OVA;1994;3.95
Detective Conan OVA 11: A Secret Order from London;OVA;2011;3.95
Tokyo Ghoul:re;TV;2018;3.95
Letter Bee TV;TV;2009;3.95
Accel World;TV;2012;3.95
Revolutionary Girl Utena;TV;1997;3.95
Otome Youkai Zakuro;TV;2010;3.95
Blue Exorcist OVA;OVA;2017;3.95
Tasogare Otome x Amnesia: Taima Otome;DVD Special;2012;3.95
Heroic Age;TV;2007;3.95
Tenchi Universe;TV;1995;3.95
Gunbuster 2;OVA;2004;3.95
Sound of the Sky Specials;DVD Special;2010;3.95
Mu Wang Zhi Wang: Qi Lin Jue;Web;2016;3.95
Problem Children Are Coming From Another World, Aren't They? OVA;OVA;2013;3.95
Nobunaga Concerto;TV;2014;3.95
School Rumble San Gakki;OVA;2008;3.95
Hayate the Combat Butler!! OVA;OVA;2009;3.95
Minami-ke Okawari;TV;2008;3.94
Blue Spring Ride: Unwritten;OVA;2014;3.94
Only Yesterday;Movie;1991;3.94
Outbreak Company;TV;2013;3.94
You're Being Summoned, Azazel Z;TV;2013;3.94
Genshiken Nidaime;TV;2013;3.94
Shinryaku! Ika Musume;TV;2010;3.94
Himouto! Umaru-chan R;TV;2017;3.94
Slayers Gorgeous;Movie;1998;3.94
Escaflowne;TV;1996;3.94
Shigofumi;TV;2008;3.94
Tamayura: Sotsugyou Shashin Movie 1 - Kizashi;Movie;2015;3.94
Black Jack OVA;OVA;1993;3.94
Vampire Knight Guilty;TV;2008;3.94
Maid-sama!: Omake dayo!;DVD Special;2011;3.94
Assassination Classroom Episode 0: Deai no Jikan;Other;2014;3.94
Huan Jie Wang;Web;2018;3.94
Slam Dunk Movie 4;Movie;1995;3.94
Sankarea;TV;2012;3.94
Chuunibyou Demo Koi ga Shitai! Ren: The Rikka Wars;DVD Special;2014;3.94
Kakumeiki Valvrave 2;TV;2013;3.94
Kiss Him, Not Me;TV;2016;3.94
Lu Over the Wall;Movie;2017;3.94
Strike the Blood III;OVA;2018;3.94
Read Or Die TV;TV;2003;3.94
Shakugan no Shana S;OVA;2009;3.94
Ah! My Goddess: The Movie;Movie;2000;3.94
Lupin III Special 14: Episode 0: First Contact;TV Special;2002;3.94
Gundam Build Fighters Try;TV;2014;3.94
Akashic Records of Bastard Magical Instructor;TV;2017;3.94
Girl;Web;2015;3.94
Prince of Tennis: A Day on Survival Mountain;OVA;2003;3.94
Irresponsible Captain Tylor OVA;OVA;1994;3.94
Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!;Movie;2008;3.93
Chio's School Road;TV;2018;3.93
Yozakura Quartet: Tsuki ni Naku;OVA;2013;3.93
True Tears;TV;2008;3.93
Hourou Musuko Specials;DVD Special;2011;3.93
Ore no Imouto ga Konna ni Kawaii Wake ga Nai;TV;2010;3.93
Pigtails;Movie;2015;3.93
Shion no Oh;TV;2007;3.93
Birdy the Mighty Decode;TV;2008;3.93
Panty & Stocking with Garterbelt;TV;2010;3.93
Haiyore! Nyaruko-san F;OVA;2015;3.93
Lupin III Special 22: The Last Job;TV Special;2010;3.93
Shinrei Tantei Yakumo;TV;2010;3.93
Pale Cocoon;OVA;2005;3.93
K: Seven Stories Movie 6 - Circle Vision ~Nameless Song~;Movie;2018;3.93
Haven't You Heard? I'm Sakamoto;TV;2016;3.93
Cowboy Bebop Session XX: Mish-Mash Blues;TV Special;1998;3.93
Space Adventure Cobra;TV;1982;3.93
Kuroko's Basketball: Oshaberi Shiyou ka;OVA;2017;3.93
Hanasakeru Seishounen;TV;2009;3.93
Nitaboh: Tsugaru Shamisen Shiso Gaibun;Movie;2004;3.93
Slayers Return;Movie;1996;3.93
Handa-kun;TV;2016;3.93
Rokka: Braves of the Six Flowers;TV;2015;3.93
Mobile Suit Gundam III: Encounters in Space;Movie;1982;3.93
Saiyuki Reload Gunlock;TV;2004;3.93
Tokyo Ghoul: Pinto;OVA;2015;3.93
Strike Witches: Operation Victory Arrow;OVA;2014;3.93
Jin-Roh: The Wolf Brigade;Movie;2000;3.93
I Can’t Understand What My Husband Is Saying: 2nd Thread;TV;2015;3.93
Hunter x Hunter: Phantom Rouge;Movie;2013;3.93
Prince of Tennis: A Gift from Atobe;Movie;2005;3.93
Aoki Hagane no Arpeggio: Ars Nova DC;Movie;2015;3.93
Slayers Excellent;OVA;1998;3.93
Maoyuu Maou Yuusha;TV;2013;3.93
Initial D Extra Stage 2: Tabidachi no Green;OVA;2008;3.93
Initial D Extra Stage;OVA;2001;3.93
History's Strongest Disciple Kenichi OVA Specials;DVD Special;2013;3.92
Uninhabited Planet Survive;TV;2003;3.92
Dragon Ball Z Special 2: The History of Trunks;TV Special;1993;3.92
Shugo Chara!! Doki;TV;2008;3.92
When They Cry: Higurashi - Nekogoroshi-hen;TV Special;2007;3.92
Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata;OVA;2009;3.92
One Piece Movie 9: Episode of Chopper - The Miracle Winter Cherry Blossom;Movie;2008;3.92
Dimension W;TV;2016;3.92
Cromartie High School;TV;2003;3.92
Medaka Box Abnormal;TV;2012;3.92
Library War;TV;2008;3.92
Brave Story;Movie;2006;3.92
Trinity Seven;TV;2014;3.92
Amagami SS+;TV;2012;3.92
Trinity Seven Movie: Eternal Library & Alchemic Girl;Movie;2017;3.92
Slayers Great;Movie;1997;3.92
Kindaichi Shounen no Jikenbo Returns (2015);TV;2015;3.92
Fairy Tail Movie 1: Phoenix Priestess - The First Morning;DVD Special;2013;3.92
Boarding School Juliet;TV;2018;3.92
Baby I Love You Daze;Web;2018;3.92
Persona 5 The Animation: The Day Breakers;TV Special;2016;3.92
www.Working!!;TV;2016;3.92
Hayate the Combat Butler!;TV;2007;3.92
Majin Tantei Nougami Neuro;TV;2007;3.92
Mahoujin Guru Guru;TV;1994;3.92
The [email protected] Movie;Movie;2014;3.92
Yaoshenji;Web;2017;3.92
Eden of the East: Falling Down;Music Video;2009;3.92
Love Live! School Idol Project;TV;2013;3.92
Dragon Ball Z Special 1: Bardock - The Father of Goku;TV Special;1990;3.92
Koro-sensei Q!;Movie;2016;3.92
Mobile Suit Gundam: Thunderbolt 2nd Season;Web;2017;3.92
Kamichu! Specials;DVD Special;2005;3.92
Hyouka: What Should Be Had;OVA;2012;3.91
Gokusen;TV;2004;3.91
Final Fantasy VII: Last Order;OVA;2005;3.91
Saint Young Men OVA;OVA;2012;3.91
Slayers Revolution;TV;2008;3.91
The Red Turtle;Movie;2016;3.91
Kantai Collection: Kan Colle Movie;Movie;2016;3.91
Ben-To;TV;2011;3.91
Black Butler 2;TV;2010;3.91
Strike the Blood II;OVA;2016;3.91
Blood+;TV;2005;3.91
Patema Inverted: Beginning of the Day;Web;2012;3.91
Tenchi The Movie: Tenchi Muyo! In Love;Movie;1996;3.91
Urusei Yatsura Movie 5: The Final Chapter;Movie;1988;3.91
Date a Live II;TV;2014;3.91
Trinity Seven OVA;OVA;2015;3.91
Drifters OVA;OVA;2018;3.91
Shashinkan;Movie;2013;3.91
Aura: Koga Maryuin's Last War;Movie;2013;3.91
Ore no Imouto ga Konna ni Kawaii Wake ga Nai.;TV;2013;3.91
Konohana Kitan;TV;2017;3.91
Melancholy of Haruhi Suzumiya (2009);TV;2009;3.91
Hugtto! Pretty Cure x Futari wa Pretty Cure Movie: All Stars Memories;Movie;2018;3.91
Super Lovers;TV;2016;3.91
Slayers: The Book of Spells;OVA;1996;3.91
Mitsudomoe;TV;2010;3.91
The Troubled Life of Miss Kotoura;TV;2013;3.91
Shounen Maid;TV;2016;3.91
Slam Dunk Movie 3;Movie;1995;3.91
Corpse Princess: Kuro;TV;2009;3.91
Rurouni Kenshin: New Kyoto Arc;OVA;2011;3.91
Amanchu!: The Story of the Promised Summer and New Memories;DVD Special;2017;3.91
Supercell: Perfect Day;Music Video;2011;3.91
IGPX: Immortal Grand Prix 2nd Season;TV;2006;3.91
Hetalia: Axis Powers;Web;2009;3.91
Hello!! Kiniro Mosaic;TV;2015;3.9
Assassination Classroom The Movie: 365 Days' Time;Movie;2016;3.9
Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio;OVA;2011;3.9
Lupin III: Farewell to Nostradamus;Movie;1995;3.9
La Corda D'Oro ~primo passo~;TV;2006;3.9
.hack//Quantum;OVA;2010;3.9
Kurenai;TV;2008;3.9
Seitokai no Ichizon (2013);OVA;2013;3.9
Fist of the North Star: Legend of Kenshiro;Movie;2008;3.9
Naruto Shippuden Movie 4: The Lost Tower;Movie;2010;3.9
Rascal Does Not Dream of Bunny Girl Senpai Picture Drama;DVD Special;2018;3.9
Listen to Me Girls, I'm Your Father!;TV;2012;3.9
Beautiful Bones: Sakurako’s Investigation;TV;2015;3.9
Saekano: How to Raise a Boring Girlfriend;TV;2015;3.9
Attack on Titan Movie 1: Crimson Bow and Arrow;Movie;2014;3.9
The Asterisk War (2016);TV;2016;3.9
Asura Cryin' 2;TV;2009;3.9
Wolf Girl and Black Prince;TV;2014;3.9
Chobits;TV;2002;3.9
Hetalia: The Beautiful World Extra Disc;DVD Special;2014;3.9
Aldnoah.Zero 2nd Season;TV;2015;3.9
Tenchi Muyo! The Night Before The Carnival;OVA;1993;3.9
Saiyuki Gaiden: Tokubetsu-hen - Kouga no Shou;OVA;2013;3.9
Gugure! Kokkuri-san;TV;2014;3.9
Space Battleship Yamato 2199: Tsuioku no Koukai;Movie;2014;3.9
